Sort,VcfOrder,SampID,Voucher,Year_coll,Cluster,Species,County,Ecoregion,Longitude,Latitude
124,MVZCCGP-CaOr85_I-H08,MVZCCGP-CaOr85_I-H08,MVZ:Bird:183569,2006,CC_NWCal,Callipepla_californica,Santa Clara County,Central Valley Coast Ranges,-121.737,37.3816
125,MVZCCGP-CaOr98_I-C10,MVZCCGP-CaOr98_I-C10,MVZ:Bird:190104,2007,CC_NWCal,Callipepla_californica,Tehama County,Sierra Nevada Foothills,-122.17383,40.29744
126,MVZCCGP-CaOr110_II-C02,MVZCCGP-CaOr110_II-C02,SDNHM:Bird:53668,2012,Gambels,Callipepla_gambelii,Riverside County,Southern California Mountains and Valleys,-116.425,33.641
127,MVZCCGP-CaOr26_II-B07,MVZCCGP-CaOr26_II-B07,LACM:Bird:104986,1990,CC_NWCal,Callipepla_californica,Lake County,Northern California Coast Ranges,-122.6160965,38.7523041
128,MVZCCGP-CaOr86_I-A09,MVZCCGP-CaOr86_I-A09,MVZ:Bird:183570,2006,CC_NWCal,Callipepla_californica,Santa Clara County,Central Valley Coast Ranges,-121.737,37.3816
129,MVZCCGP-CaOr113_I-C11,MVZCCGP-CaOr113_I-C11,LSUMZ:Bird:158920,1993,Gambels,Callipepla_gambelii,San Bernardino County,Mojave Desert,-115.738,34.976
130,MVZCCGP-CaOr11_I-A02,MVZCCGP-CaOr11_I-A02,MVZ:Bird:190751,2011,CC_NWCal,Callipepla_californica,Contra Costa County,Central Valley Coast Ranges,-121.9425337,37.766279
131,MVZCCGP-CaOr20_I-G02,MVZCCGP-CaOr20_I-G02,LACM:Bird:114671,2006,CC_SN,Callipepla_californica,Inyo County,Mono,-118.3957214,37.3652992
132,MVZCCGP-CaOr29_I-E03,MVZCCGP-CaOr29_I-E03,MVZ:Bird:182172,2006,CC_SN,Callipepla_californica,Lassen County,Southern Cascades,-120.84406,40.57595
133,MVZCCGP-CaOr22_I-A03,MVZCCGP-CaOr22_I-A03,MVZ uncataloged,2008,CC_SN,Callipepla_californica,Kern County,Sierra Nevada,-118.07576,35.72365
